No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
37,雄英夏服〈ヒート〉,R,1,Strike,Technical,Support,Support,Technical,Support,Rapid,Technical,Support,Assault,Support,Rapid(V)
38,お祭り法被,PUR,3,Assault,Technical,Support,Technical(H),Technical(H),Strike,Strike,Technical,Rapid(H),Support(H),Support,Rapid(H)
39,お祭り法被〈ヴィランライク〉,PUR,3,Support,Assault,Rapid,Assault(V),Technical(H),Assault,Rapid,Technical,Rapid(H),Rapid(V),Assault,Support(H)
40,お祭り法被〈ヒート〉,PUR,3,Support,Assault,Assault,Support(H),Technical(H),Strike,Strike,Support,Support(V),Strike(V),Support,Assault(V)
41,お祭り法被〈コンバット〉,PUR,3,Strike,Technical,Assault,Assault(H),Strike(H),Technical,Rapid,Rapid,Assault(H),Rapid(H),Strike,Rapid(H)
42,お祭り法被〈ファンシー〉,PUR,3,Strike,Rapid,Technical,Strike(V),Assault(V),Support,Technical,Strike,Strike(V),Strike(H),Strike,Support(V)
43,お祭り法被〈デンジャラス〉,PUR,3,Assault,Rapid,Strike,Rapid(H),Technical(V),Rapid,Technical,Rapid,Assault(V),Support(V),Assault,Support(H)
44,雄英夏服〈デンジャラス〉,R,1,Support,Rapid,Strike,Assault,Assault,Assault,Rapid,Strike,Technical,Support,Rapid,Strike(H)
45,雄英夏服〈ヴィランライク〉,R,1,Support,Technical,Rapid,Assault,Rapid,Assault,Rapid,Rapid,Strike,Rapid,Technical,Technical(V)
46,諦めざる心,PUR,3,Support,Assault,Technical,Strike(V),Rapid(H),Strike,Rapid,Support,Rapid(H),Strike(H),Strike,Assault(H)
47,諦めざる心〈ヴィランライク〉,PUR,3,Support,Support,Technical,Assault(H),Technical(V),Support,Support,Technical,Strike(H),Strike(V),Rapid,Strike(H)
48,諦めざる心〈ヒート〉,PUR,3,Assault,Strike,Support,Assault(V),Rapid(H),Assault,Rapid,Assault,Technical(V),Assault(H),Technical,Rapid(V)
49,諦めざる心〈コンバット〉,PUR,3,Assault,Support,Rapid,Support(H),Support(H),Assault,Rapid,Strike,Strike(V),Support(V),Assault,Support(H)
50,諦めざる心〈ファンシー〉,PUR,3,Rapid,Support,Technical,Strike(H),Support(V),Support,Strike,Strike,Strike(H),Support(H),Support,Technical(V)
51,諦めざる心〈デンジャラス〉,PUR,3,Assault,Technical,Rapid,Rapid(H),Strike(H),Technical,Strike,Assault,Strike(H),Assault(V),Strike,Rapid(V)
52,異世界装束,PUR,3,Assault,Technical,Rapid,Technical(H),Support(V),Technical,Support,Strike,Rapid(H),Strike(H),Strike,Support(H)
53,異世界装束〈ヴィランライク〉,PUR,3,Assault,Support,Assault,Strike(H),Rapid(H),Support,Technical,Rapid,Strike(V),Rapid(V),Technical,Rapid(V)
54,異世界装束〈ヒート〉,PUR,3,Rapid,Assault,Strike,Technical(V),Rapid(V),Assault,Rapid,Technical,Support(H),Strike(H),Assault,Technical(H)
55,異世界装束〈コンバット〉,PUR,3,Support,Technical,Assault,Strike(V),Assault(H),Assault,Support,Support,Technical(H),Rapid(V),Rapid,Support(V)
56,異世界装束〈ファンシー〉,PUR,3,Assault,Strike,Rapid,Assault(H),Strike(V),Rapid,Strike,Strike,Support(H),Technical(H),Strike,Technical(V)
57,異世界装束〈デンジャラス〉,PUR,3,Assault,Rapid,Support,Assault(H),Assault(V),Technical,Technical,Technical,Strike(V),Rapid(V),Support,Assault(H)
58,マスクオフαver.〈ファンシー〉,R,1,Technical,Assault,Strike,Rapid,Strike,Strike,Technical,Technical,Technical,Support,Technical,Support(H)
59,忍,PUR,3,Strike,Rapid,Technical,Support(H),Rapid(V),Assault,Assault,Rapid,Strike(V),Technical(H),Technical,Strike(H)
60,忍〈ヴィランライク〉,PUR,3,Assault,Support,Technical,Rapid(H),Strike(V),Strike,Assault,Rapid,Technical(H),Support(V),Strike,Support(H)
61,忍〈ヒート〉,PUR,3,Support,Technical,Rapid,Strike(H),Assault(H),Rapid,Strike,Strike,Technical(V),Support(V),Assault,Rapid(V)
62,忍〈コンバット〉,PUR,3,Technical,Assault,Assault,Rapid(V),Strike(H),Assault,Support,Technical,Rapid(H),Strike(V),Rapid,Technical(V)
63,忍〈ファンシー〉,PUR,3,Rapid,Technical,Rapid,Technical(H),Strike(V),Technical,Assault,Support,Assault(H),Support(V),Support,Support(V)
64,忍〈デンジャラス〉,PUR,3,Assault,Strike,Support,Rapid(V),Technical(H),Rapid,Support,Strike,Support(V),Technical(H),Assault,Assault(H)
